City,Latitude,Longitude
London,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.5200,13.4050
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
Vienna,48.2082,16.3738
Prague,50.0755,14.4378
Warsaw,52.2297,21.0122
Amsterdam,52.3676,4.9041
Brussels,50.8503,4.3517
